id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drive,Sable & June,r&b,romantic,0.61,96,0.78,0.74,0.44
12,Broken Clocks,The Pale Moons,indie pop,sad,0.38,104,0.22,0.45,0.67
13,Concrete Jungle Anthem,Freewave,hip-hop,intense,0.85,98,0.62,0.91,0.08
14,Rain on Cobblestones,Elara Voss,classical,melancholic,0.21,58,0.31,0.24,0.97
15,Neon Carnival,Flux Drive,electronic,uplifting,0.88,140,0.86,0.93,0.04
16,Porch & Sweet Tea,Blue Ridge Co.,country,relaxed,0.44,104,0.73,0.55,0.81
17,Basement Groove,The Funkytown Few,funk,uplifting,0.79,112,0.88,0.87,0.29
18,3AM Thoughts,Hollow Static,hip-hop,melancholic,0.52,85,0.28,0.58,0.41
